1. How did you learn about this study?;2. How old are you?;3. What is your height (in centimeters)?;What is your weight (in kilograms)?;5. What is your nationality?;6. What is your sex according to your ID card?;7. What gender do you identify with?;8. What is your highest level of education?;9. What is the size of the town/city you currently live in?;10. What is your average monthly income?;11. What is your sexual orientation?;12. What is your relationship status?
Connection;Age;Height;Weight;Nationality ;Sex;Gender;Education;Municipality;Income;Sexual Orientation;Relationship Status
From the internet, but not from a friend/acquaintance (e.g., social media).;23;161;56;Czech;Female;Female;University bachelor's degree (Bc., BcA. degree);City over 100 000 inhabitants;up to 15,000 CZK/month;Bisexual;Committed relationship
From the internet, but not from a friend/acquaintance (e.g., social media).;26;168;54;Czech;Female;Female;University master's degree (Mgr., MgA., Ing., MUDr., RNDr., PhDr., PharmDr. etc.);City over 100 000 inhabitants;30,000-50,000 CZK/month;Bisexual;NeCommitted relationship
From the internet, but not from a friend/acquaintance (e.g., social media).;22;165;57;Czech;Female;Female;University bachelor's degree (Bc., BcA. degree);Village with 5001-20 000 inhabitants;up to 15,000 CZK/month;Bisexual;Single (without a partner)
A friend/acquaintance sent me a link online;23;172;70;Slovak;Female;Female;Secondary school with a high school diploma;City over 100 000 inhabitants;up to 15,000 CZK/month;Heterosexual;Committed relationship
A friend/acquaintance sent me a link online;20;72;60;Czech;Female;Nonbianary;Secondary school with a high school diploma;Village with 5001-20 000 inhabitants;;Bisexual;Committed relationship
From the internet, but not from a friend/acquaintance (e.g., social media).;27;164;59;Czech;Female;Female;University master's degree (Mgr., MgA., Ing., MUDr., RNDr., PhDr., PharmDr. etc.);City over 100 000 inhabitants;30,000-50,000 CZK/month;Heterosexual;Single (without a partner)
A friend/acquaintance sent me a link online;24;174;58;Czech;Female;Female;Secondary school with a high school diploma;Village with 1001-5000 inhabitants;up to 15,000 CZK/month;Heterosexual;Committed relationship
From a paper flyer with a QR code.;35;164;58;Czech;Female;Female;University master's degree (Mgr., MgA., Ing., MUDr., RNDr., PhDr., PharmDr. etc.);City over 100 000 inhabitants;15,000-30,000 CZK/month;Heterosexual;Marriage/registered partnership
A friend/acquaintance sent me a link online;24;178;65;Slovak;Female;Female;Secondary school with a high school diploma;City over 100 000 inhabitants;15,000-30,000 CZK/month;Bisexual;Committed relationship
A friend/acquaintance sent me a link online;23;169;65;Slovak;Female;Female;Secondary school with a high school diploma;Village with 1001-5000 inhabitants;up to 15,000 CZK/month;Heterosexual;Committed relationship
From the internet, but not from a friend/acquaintance (e.g., social media).;23;165;56;Slovak;Female;Female;Secondary school with a high school diploma;City over 100 000 inhabitants;15,000-30,000 CZK/month;Heterosexual;Committed relationship
A friend/acquaintance sent me a link online;21;161;56;Czech;Female;Female;Secondary school with a high school diploma;Village with 5001-20 000 inhabitants;up to 15,000 CZK/month;Bisexual;Single (without a partner)
A friend/acquaintance sent me a link online;21;172;71;Czech;Female;Female;Secondary school with a high school diploma;City over 100 000 inhabitants;15,000-30,000 CZK/month;Heterosexual;Single (without a partner)
From the internet, but not from a friend/acquaintance (e.g., social media).;25;169;57;Czech;Female;Female;University bachelor's degree (Bc., BcA. degree);City over 100 000 inhabitants;up to 15,000 CZK/month;Homosexuální;Committed relationship
From the internet, but not from a friend/acquaintance (e.g., social media).;27;176;76;Czech;Female;Female;University master's degree (Mgr., MgA., Ing., MUDr., RNDr., PhDr., PharmDr. etc.);Village with 5001-20 000 inhabitants;30,000-50,000 CZK/month;Heterosexual;Committed relationship
A friend/acquaintance sent me a link online;23;172;70;Slovak;Female;Female;Secondary school with a high school diploma;City over 100 000 inhabitants;up to 15,000 CZK/month;Heterosexual;Committed relationship
A friend/acquaintance sent me a link online;23;176;71;Czech;Female;Female;Secondary school with a high school diploma;Village with 1001-5000 inhabitants;up to 15,000 CZK/month;Heterosexual;Committed relationship
From the internet, but not from a friend/acquaintance (e.g., social media).;24;178;65;Czech;Female;Female;Secondary school with a high school diploma;City over 100 000 inhabitants;up to 15,000 CZK/month;Bisexual;Committed relationship
From the internet, but not from a friend/acquaintance (e.g., social media).;20;156;60;Czech;Female;Female;Secondary school with a high school diploma;City over 100 000 inhabitants;up to 15,000 CZK/month;I don't know;Single (without a partner)
